"per_gear" "per_carb" "mpg" "cyl" "disp" "hp" "drat" "wt" "qsec" "vs" "am" "gear" "carb"
3 1 61 16 603.1 312 9.54 9.14 59.67 3 0 9 3
4 1 116.4 16 336.8 290 16.23 8.29 76.88 4 4 16 4
3 2 68.6 32 1382 650 12.14 14.24 68.24 0 0 12 8
4 2 99 16 484.2 318 16.65 10.735 80.02 4 2 16 8
5 2 56.4 8 215.4 204 8.2 3.653 33.6 1 2 10 4
3 3 48.9 24 827.4 540 9.21 11.58 53 0 0 9 9
3 4 63.1 40 2082 1140 16.1 23.429 84.47 0 0 15 20
4 4 79 24 655.2 466 15.64 12.375 70.68 2 2 16 16
5 4 15.8 8 351 264 4.22 3.17 14.5 0 1 5 4
5 6 19.7 6 145 175 3.62 2.77 15.5 0 1 5 6
5 8 15 8 301 335 3.54 3.57 14.6 0 1 5 8
