"gender" "admitted" "department"
"1" "female" "yes" "A"
"2" "female" "yes" "A"
"3" "female" "yes" "A"
"4" "female" "yes" "A"
"5" "female" "yes" "A"
"6" "female" "yes" "A"
"7" "female" "yes" "A"
"8" "female" "yes" "A"
"9" "female" "yes" "A"
"10" "female" "yes" "A"
"11" "female" "yes" "A"
"12" "female" "yes" "A"
"13" "female" "yes" "A"
"14" "female" "yes" "A"
"15" "female" "yes" "A"
"16" "female" "yes" "A"
"17" "female" "yes" "A"
"18" "female" "yes" "A"
"19" "female" "yes" "A"
"20" "female" "yes" "A"
"21" "female" "yes" "A"
"22" "female" "yes" "A"
"23" "female" "yes" "A"
"24" "female" "yes" "A"
"25" "female" "yes" "A"
"26" "female" "yes" "A"
"27" "female" "yes" "A"
"28" "female" "yes" "A"
"29" "female" "yes" "A"
"30" "female" "yes" "A"
"31" "female" "yes" "A"
"32" "female" "yes" "A"
"33" "female" "yes" "A"
"34" "female" "yes" "A"
"35" "female" "yes" "A"
"36" "female" "yes" "A"
"37" "female" "yes" "A"
"38" "female" "yes" "A"
"39" "female" "yes" "A"
"40" "female" "yes" "A"
"41" "female" "yes" "A"
"42" "female" "yes" "A"
"43" "female" "yes" "A"
"44" "female" "yes" "A"
"45" "female" "yes" "A"
"46" "female" "yes" "A"
"47" "female" "yes" "A"
"48" "female" "yes" "A"
"49" "female" "yes" "A"
"50" "female" "yes" "A"
"51" "female" "yes" "A"
"52" "female" "yes" "A"
"53" "female" "yes" "A"
"54" "female" "yes" "A"
"55" "female" "yes" "A"
"56" "female" "yes" "A"
"57" "female" "yes" "A"
"58" "female" "yes" "A"
"59" "female" "yes" "A"
"60" "female" "yes" "A"
"61" "female" "yes" "A"
"62" "female" "yes" "A"
"63" "female" "yes" "A"
"64" "female" "yes" "A"
"65" "female" "yes" "A"
"66" "female" "yes" "A"
"67" "female" "yes" "A"
"68" "female" "yes" "A"
"69" "female" "yes" "A"
"70" "female" "yes" "A"
"71" "female" "yes" "A"
